Scripps ID,SDCVC ID,Species,Sample type,% Coverage,Average Coverage,Collection date,Country,State,County,Latitude,Longitude,Sequencing Status,Consensus Name
W012,W14-0125 T,Hawk,Tissue,100,4789.33,2014-10-28,USA,CA,San Diego,33.016,-117.07,coding-complete,W012_2014-10-28_USA_CA_SanDiego_-117.070_33.016.fasta
W013,16-B-0830-B,Hawk,Tissue,100,874.683,2016-06-30,USA,CA,San Diego,33.015,-117.053,coding-complete,W013_2016-06-30_USA_CA_SanDiego_-117.053_33.015.fasta
W014,M14-0148,Culex quinquefasciatus,Pooled mosquitos,100,4494.08,2014-10-31,USA,CA,San Diego,32.839,-117.129,coding-complete,W014_2014-10-31_USA_CA_SanDiego_-117.129_32.839.fasta
W015,15-Q-0217,Culex quinquefasciatus,Pooled mosquitos,100,4729.51,2015-08-21,USA,CA,San Diego,32.652,-117.107,coding-complete,W015_2015-08-21_USA_CA_SanDiego_-117.107_32.652.fasta
W016,16-Q-0503,Culex tarsalis,Pooled mosquitos,100,2959.68,2016-05-16,USA,CA,San Diego,x,x,coding-complete,W016_2016-05-16_USA_CA_SanDiego__.fasta
W017,208-0907,Jaybird,Tissue,100,4590.66,2007-03-19,USA,CA,San Diego,32.757,-117.072,coding-complete,W017_2007-03-19_USA_CA_SanDiego_-117.072_32.757.fasta
W018,208-0945,American Crow,Tissue,100,2666.62,2007-03-19,USA,CA,San Diego,33.239,-117.335,coding-complete,W018_2007-03-19_USA_CA_SanDiego_-117.335_33.239.fasta
W019,208-0953,American Crow,Tissue,100,2044.84,2007-10-02,USA,CA,San Diego,32.786,-116.95,coding-complete,W019_2007-10-02_USA_CA_SanDiego_-116.950_32.786.fasta
W020,208-0943,American Crow,Tissue,100,3965.89,2007-10-02,USA,CA,San Diego,33.246,-117.328,coding-complete,W020_2007-10-02_USA_CA_SanDiego_-117.328_33.246.fasta
W021,208-1201,Hawk,Tissue,100,4219.38,2007-10-25,USA,CA,San Diego,x,x,coding-complete,W021_2007-10-25_USA_CA_SanDiego__.fasta
W022,208-2252,American Crow,Tissue,100,2079.04,2008-02-06,USA,CA,San Diego,32.855,-117.004,coding-complete,W022_2008-02-06_USA_CA_SanDiego_-117.004_32.855.fasta
W026,208-2824,American Crow,Tissue,100,0.586091,2008-05-14,USA,CA,San Diego,32.901,-117.158,coding-complete,W026_2008-05-14_USA_CA_SanDiego_-117.158_32.901.fasta
W028,208-3179,American Crow,Tissue,100,1.89818,2008-06-11,USA,CA,San Diego,32.958,-117.241,coding-complete,W028_2008-06-11_USA_CA_SanDiego_-117.241_32.958.fasta
W029,208-3183,American Crow,Tissue,100,8.11479,2008-06-11,USA,CA,San Diego,32.999,-117.255,coding-complete,W029_2008-06-11_USA_CA_SanDiego_-117.255_32.999.fasta
W030,208-3351b,Sharp-shinned hawk,Tissue,100,2721.32,2008-06-25,USA,CA,San Diego,32.73,-117.032,coding-complete,W030_2008-06-25_USA_CA_SanDiego_-117.032_32.730.fasta
W031,208-0941,American Crow,Tissue,100,133.676,2008-09-15,USA,CA,San Diego,32.958,-117.14,coding-complete,W031_2008-09-15_USA_CA_SanDiego_-117.140_32.958.fasta
W032,208-3343,Coopers Hawk,Tissue,100,1171.03,2008-06-25,USA,CA,San Diego,32.763,-117.251,coding-complete,W032_2008-06-25_USA_CA_SanDiego_-117.251_32.763.fasta
W033,209-0513b,American Crow,Tissue,100,2091.93,2008-08-07,USA,CA,San Diego,32.844,-116.969,coding-complete,W033_2008-08-07_USA_CA_SanDiego_-116.969_32.844.fasta
W034,209-0526b,Western Scrub Jay,Tissue,100,1319.07,2008-08-07,USA,CA,San Diego,33.091,-117.07,coding-complete,W034_2008-08-07_USA_CA_SanDiego_-117.070_33.091.fasta
W035,209-0945b,American Crow,Tissue,100,145.04,2008-09-18,USA,CA,San Diego,33.032,-117.289,coding-complete,W035_2008-09-18_USA_CA_SanDiego_-117.289_33.032.fasta
W036,209-0946b,American Crow,Tissue,100,1423.67,2008-09-18,USA,CA,San Diego,33.03,-116.886,coding-complete,W036_2008-09-18_USA_CA_SanDiego_-116.886_33.030.fasta
W037,209-0947b,American Crow,Tissue,100,581.301,2008-09-18,USA,CA,San Diego,33.228,-117.01,coding-complete,W037_2008-09-18_USA_CA_SanDiego_-117.010_33.228.fasta
W038,209-1603b,American Crow,Tissue,100,618.923,2008-12-01,USA,CA,San Diego,32.928,-117.139,coding-complete,W038_2008-12-01_USA_CA_SanDiego_-117.139_32.928.fasta
W039,209-1619b,American Crow,Tissue,100,309.287,2008-12-08,USA,CA,San Diego,32.951,-117.058,coding-complete,W039_2008-12-08_USA_CA_SanDiego_-117.058_32.951.fasta
W040,209-0917b,American Crow,Tissue,100,110.956,2008-09-15,USA,CA,San Diego,32.81,-116.649,coding-complete,W040_2008-09-15_USA_CA_SanDiego_-116.649_32.810.fasta
W041,209-0987b,American Crow,Tissue,100,2737.55,2008-09-18,USA,CA,San Diego,32.837,-116.766,coding-complete,W041_2008-09-18_USA_CA_SanDiego_-116.766_32.837.fasta
W042,209-1880,Red-shouldered Hawk,Tissue,100,1780.15,2009-01-20,USA,CA,San Diego,33.005,-117.042,coding-complete,W042_2009-01-20_USA_CA_SanDiego_-117.042_33.005.fasta
W043,209-1616b,Sharp-shinned hawk,Tissue,100,1614.7,2008-12-08,USA,CA,San Diego,33.016,-116.802,coding-complete,W043_2008-12-08_USA_CA_SanDiego_-116.802_33.016.fasta
W044,209-1582b,Sharp-shinned hawk,Tissue,100,1657.34,2008-12-01,USA,CA,San Diego,33.33,-117.227,coding-complete,W044_2008-12-01_USA_CA_SanDiego_-117.227_33.330.fasta
W046,209-2472b,Red-shouldered Hawk,Tissue,100,2191.13,2009-04-08,USA,CA,San Diego,32.754,-116.958,coding-complete,W046_2009-04-08_USA_CA_SanDiego_-116.958_32.754.fasta
W047,209-2710b,American Crow,Tissue,100,1163.65,2009-05-21,USA,CA,San Diego,32.972,-117.261,coding-complete,W047_2009-05-21_USA_CA_SanDiego_-117.261_32.972.fasta
W048,209-1755b,Sharp-shinned hawk,Tissue,100,1619.68,2008-12-22,USA,CA,San Diego,32.78,-116.924,coding-complete,W048_2008-12-22_USA_CA_SanDiego_-116.924_32.780.fasta
W049,209-2895b,American Crow,Tissue,100,231.117,2009-06-18,USA,CA,San Diego,33.256,-116.983,coding-complete,W049_2009-06-18_USA_CA_SanDiego_-116.983_33.256.fasta
W050,210-0371b,American Crow,Tissue,100,1370.12,2009-09-15,USA,CA,San Diego,32.828,-116.518,coding-complete,W050_2009-09-15_USA_CA_SanDiego_-116.518_32.828.fasta
W051,210-0453,American Crow,Tissue,100,1169.73,2009-09-30,USA,CA,San Diego,33.26,-117.072,coding-complete,W051_2009-09-30_USA_CA_SanDiego_-117.072_33.260.fasta
W055,W13-0070,American Crow,Tissue,100,4528.94,2013-08-01,USA,CA,San Diego,32.792,-116.958,coding-complete,W055_2013-08-01_USA_CA_SanDiego_-116.958_32.792.fasta
W057,W13-0076,American Crow,Tissue,100,1652.66,2013-09-09,USA,CA,San Diego,32.84,-116.998,coding-complete,W057_2013-09-09_USA_CA_SanDiego_-116.998_32.840.fasta
W058,W13-0095,American Crow,Tissue,100,1140.27,2013-11-01,USA,CA,San Diego,32.736,-117.149,coding-complete,W058_2013-11-01_USA_CA_SanDiego_-117.149_32.736.fasta
W059,W13-0098,American Crow,Tissue,100,293.525,2013-11-07,USA,CA,San Diego,32.84,-116.998,coding-complete,W059_2013-11-07_USA_CA_SanDiego_-116.998_32.840.fasta
W060,W13-0096b,Hawk,Tissue,100,4329.7,2013-11-07,USA,CA,San Diego,32.674,-117.24,coding-complete,W060_2013-11-07_USA_CA_SanDiego_-117.240_32.674.fasta
W061,W14-0064b,Hawk,Tissue,99.96,2784.46,2014-08-06,USA,CA,San Diego,32.838,-116.894,coding-complete,W061_2014-08-06_USA_CA_SanDiego_-116.894_32.838.fasta
W062,W14-0051,American Crow,Tissue,100,2027.22,2014-07-17,USA,CA,San Diego,32.741,-117.125,coding-complete,W062_2014-07-17_USA_CA_SanDiego_-117.125_32.741.fasta
W063,W14-0065,American Crow,Tissue,100,332.399,2014-08-13,USA,CA,San Diego,32.797,-117.02,coding-complete,W063_2014-08-13_USA_CA_SanDiego_-117.020_32.797.fasta
W064,W14-0068,Jay,Tissue,100,225.439,2014-08-13,USA,CA,San Diego,32.776,-116.996,coding-complete,W064_2014-08-13_USA_CA_SanDiego_-116.996_32.776.fasta
W065,W14-0098,American Crow,Tissue,100,1354.72,2014-09-25,USA,CA,San Diego,32.852,-116.937,coding-complete,W065_2014-09-25_USA_CA_SanDiego_-116.937_32.852.fasta
W066,W14-0101,American Crow,Tissue,100,3216.7,2014-10-03,USA,CA,San Diego,32.84,-116.997,coding-complete,W066_2014-10-03_USA_CA_SanDiego_-116.997_32.840.fasta
W067,W14-0102,American Crow,Tissue,100,3971.82,2014-10-03,USA,CA,San Diego,32.775,-117.205,coding-complete,W067_2014-10-03_USA_CA_SanDiego_-117.205_32.775.fasta
W068,W14-0125b,Hawk,Tissue,100,1122.56,2014-10-28,USA,CA,San Diego,33.016,-117.07,coding-complete,W068_2014-10-28_USA_CA_SanDiego_-117.070_33.016.fasta
W070,M14-0160,Culex quinquefasciatus,Pooled mosquitos,100,400.176,2014-11-07,USA,CA,San Diego,32.629,-116.966,coding-complete,W070_2014-11-07_USA_CA_SanDiego_-116.966_32.629.fasta
W071,W14-0138b,Hawk,Tissue,100,143.739,2014-11-10,USA,CA,San Diego,32.932,-117.244,coding-complete,W071_2014-11-10_USA_CA_SanDiego_-117.244_32.932.fasta
W072,W14-0142,American Crow,Tissue,100,2740.68,2014-11-17,USA,CA,San Diego,33.029,-117.084,coding-complete,W072_2014-11-17_USA_CA_SanDiego_-117.084_33.029.fasta
W073,W14-0143,American Crow,Tissue,100,3995.8,2014-11-17,USA,CA,San Diego,33.018,-116.884,coding-complete,W073_2014-11-17_USA_CA_SanDiego_-116.884_33.018.fasta
W074,W14-0154,Raven,Tissue,100,4916.23,2014-12-18,USA,CA,San Diego,32.797,-117.018,coding-complete,W074_2014-12-18_USA_CA_SanDiego_-117.018_32.797.fasta
W075,W14-0155,Raven,Tissue,100,1489.88,2014-12-18,USA,CA,San Diego,32.736,-117.081,coding-complete,W075_2014-12-18_USA_CA_SanDiego_-117.081_32.736.fasta
W076,15-B-00055-B,American Crow,Tissue,100,4475.31,2015-04-16,USA,CA,San Diego,32.835,-117.153,coding-complete,W076_2015-04-16_USA_CA_SanDiego_-117.153_32.835.fasta
W077,15-B-00071-B,American Crow,Tissue,100,5350.44,2015-05-13,USA,CA,San Diego,32.852,-117.004,coding-complete,W077_2015-05-13_USA_CA_SanDiego_-117.004_32.852.fasta
W078,15Q-00114,Culex quinquefasciatus ,Pooled mosquitos,100,2094.35,2015-07-10,USA,CA,San Diego,32.727,-117.045,coding-complete,W078_2015-07-10_USA_CA_SanDiego_-117.045_32.727.fasta
W079,15Q-00115,Culex quinquefasciatus ,Pooled mosquitos,100,4996.8,2015-07-10,USA,CA,San Diego,32.733,-117.034,coding-complete,W079_2015-07-10_USA_CA_SanDiego_-117.034_32.733.fasta
W080,15Q-00117,Culex quinquefasciatus ,Pooled mosquitos,100,4274.51,2015-07-10,USA,CA,San Diego,32.737,-117.029,coding-complete,W080_2015-07-10_USA_CA_SanDiego_-117.029_32.737.fasta
W081,15Q-00147,Culex stigmatosoma,Pooled mosquitos,100,3269.36,2015-07-28,USA,CA,San Diego,32.849,-116.86,coding-complete,W081_2015-07-28_USA_CA_SanDiego_-116.860_32.849.fasta
W082,15Q-00194,Culex quinquefasciatus,Pooled mosquitos,100,4652.47,2015-08-14,USA,CA,San Diego,33.18,-117.332,coding-complete,W082_2015-08-14_USA_CA_SanDiego_-117.332_33.180.fasta
W083,15-B-00226-T,Cooper's hawk,Tissue,100,4580.94,2015-08-14,USA,CA,San Diego,33.137,-117.199,coding-complete,W083_2015-08-14_USA_CA_SanDiego_-117.199_33.137.fasta
W084,15-B-00234-B,Sharp-shinned hawk,Tissue,100,2223.81,2015-08-18,USA,CA,San Diego,32.673,-117.053,coding-complete,W084_2015-08-18_USA_CA_SanDiego_-117.053_32.673.fasta
W085,15Q-00217,Culex quinquefasciatus,Pooled mosquitos,100,4497.88,2015-08-21,USA,CA,San Diego,32.652,-117.107,coding-complete,W085_2015-08-21_USA_CA_SanDiego_-117.107_32.652.fasta
W086,15Q-00222,Culex quinquefasciatus,Pooled mosquitos,100,4404.26,2015-08-28,USA,CA,San Diego,32.984,-117.227,coding-complete,W086_2015-08-28_USA_CA_SanDiego_-117.227_32.984.fasta
W087,15Q-00229,Culex quinquefasciatus,Pooled mosquitos,100,5066.7,2015-08-28,USA,CA,San Diego,32.961,-117.254,coding-complete,W087_2015-08-28_USA_CA_SanDiego_-117.254_32.961.fasta
W088,15Q-00232,Culex quinquefasciatus,Pooled mosquitos,100,4103.59,2015-08-28,USA,CA,San Diego,33.038,-117.249,coding-complete,W088_2015-08-28_USA_CA_SanDiego_-117.249_33.038.fasta
W089,15Q-00275,Culex quinquefasciatus,Pooled mosquitos,100,3836.81,2015-09-29,USA,CA,San Diego,33.193,-117.121,coding-complete,W089_2015-09-29_USA_CA_SanDiego_-117.121_33.193.fasta
W090,15Q-00285,Culex tarsalis,Pooled mosquitos,100,4553.66,2015-10-02,USA,CA,San Diego,32.812,-116.996,coding-complete,W090_2015-10-02_USA_CA_SanDiego_-116.996_32.812.fasta
W093,16-Q-0803,Culex quinquefasciatus,Pooled mosquitos,100,3437.98,2016-08-11,USA,CA,San Diego,32.811,-117.164,coding-complete,W093_2016-08-11_USA_CA_SanDiego_-117.164_32.811.fasta
W094,16-Q-0808,Culex quinquefasciatus,Pooled mosquitos,100,3658.54,2016-08-18,USA,CA,San Diego,32.697,-117.168,coding-complete,W094_2016-08-18_USA_CA_SanDiego_-117.168_32.697.fasta
W095,17-B-1112-B,American Crow,Tissue,100,5148.45,2017-10-05,USA,CA,San Diego,32.857,-116.626,coding-complete,W095_2017-10-05_USA_CA_SanDiego_-116.626_32.857.fasta
W096,17-B-1115-B,Western Scrub Jay,Tissue,100,3068.31,2017-10-16,USA,CA,San Diego,33.214,-116.692,coding-complete,W096_2017-10-16_USA_CA_SanDiego_-116.692_33.214.fasta
W097,17-B-1117-B,American Crow,Tissue,100,3286.4,2017-10-19,USA,CA,San Diego,32.575,-117.125,coding-complete,W097_2017-10-19_USA_CA_SanDiego_-117.125_32.575.fasta
W098,17-Q-1571,Culex stigmatosoma,Pooled mosquitos,100,3903.21,2017-08-28,USA,CA,San Diego,32.801,-116.876,coding-complete,W098_2017-08-28_USA_CA_SanDiego_-116.876_32.801.fasta
W099,17-Q-1572,Culex quinquefasciatus,Pooled mosquitos,100,4258.28,2017-08-28,USA,CA,San Diego,32.913,-117.081,coding-complete,W099_2017-08-28_USA_CA_SanDiego_-117.081_32.913.fasta
W100,17-Q-1690,Culex quinquefasciatus,Pooled mosquitos,100,2999.33,2017-10-05,USA,CA,San Diego,32.737,-117.098,coding-complete,W100_2017-10-05_USA_CA_SanDiego_-117.098_32.737.fasta
W101,15B-272b,American Crow,Tissue,100,4769.94,2015-08-31,USA,CA,San Diego,32.643,-117.073,coding-complete,W101_2015-08-31_USA_CA_SanDiego_-117.073_32.643.fasta
W102,15B-273b,American Crow,Tissue,100,4269.27,2015-08-31,USA,CA,San Diego,33.155,-117.324,coding-complete,W102_2015-08-31_USA_CA_SanDiego_-117.324_33.155.fasta
W103,15B-274b,Western Scrub Jay,Tissue,100,3079.17,2015-08-31,USA,CA,San Diego,33.062,-117.253,coding-complete,W103_2015-08-31_USA_CA_SanDiego_-117.253_33.062.fasta
W104,15B-407b,American Crow,Tissue,100,2520.23,2015-10-02,USA,CA,San Diego,33.025,-116.879,coding-complete,W104_2015-10-02_USA_CA_SanDiego_-116.879_33.025.fasta
W105,15B-408b,American Crow,Tissue,100,343.949,2015-10-02,USA,CA,San Diego,33.075,-116.867,coding-complete,W105_2015-10-02_USA_CA_SanDiego_-116.867_33.075.fasta
W107,15B-536b,Western Scrub Jay,Tissue,100,1681.52,2015-11-10,USA,CA,San Diego,33.167,-117.34,coding-complete,W107_2015-11-10_USA_CA_SanDiego_-117.340_33.167.fasta
W108,15B-537b,American Crow,Tissue,100,279.559,2015-11-10,USA,CA,San Diego,33.013,-117.141,coding-complete,W108_2015-11-10_USA_CA_SanDiego_-117.141_33.013.fasta
W109,15B-538b,American Crow,Tissue,100,441.21,2015-11-10,USA,CA,San Diego,32.837,-116.981,coding-complete,W109_2015-11-10_USA_CA_SanDiego_-116.981_32.837.fasta
W110,16B-619T,American Crow,Tissue,100,1251.84,2016-01-27,USA,CA,San Diego,33.099,-117.003,coding-complete,W110_2016-01-27_USA_CA_SanDiego_-117.003_33.099.fasta
W111,16B-622b,American Crow,Tissue,100,2742.5,2016-02-03,USA,CA,San Diego,32.748,-117.228,coding-complete,W111_2016-02-03_USA_CA_SanDiego_-117.228_32.748.fasta
W112,16B-639b,American Crow,Tissue,100,3786.65,2016-02-18,USA,CA,San Diego,32.63,-117.024,coding-complete,W112_2016-02-18_USA_CA_SanDiego_-117.024_32.630.fasta
W113,04-1247,American Crow,Tissue,100,3654.4,2004-05-25,USA,CA,Los Angeles,33.913,-118.033,coding-complete,W113_2004-05-25_USA_CA_Los Angeles_-118.033_33.913.fasta
W114,04-1481,American Crow,Tissue,100,4383.31,2004-05-28,USA,CA,San Bernardino,34.111,-117.322,coding-complete,W114_2004-05-28_USA_CA_San Bernardino_-117.322_34.111.fasta
W115,04-2895,American Crow,Tissue,100,3709.02,2004-07-09,USA,CA,Los Angeles,34.21,-118.506,coding-complete,W115_2004-07-09_USA_CA_Los Angeles_-118.506_34.210.fasta
W116,04-3520,Yellow-billed Magpie,Tissue,100,3080.23,2004-07-23,USA,CA,Butte,39.526,-121.569,coding-complete,W116_2004-07-23_USA_CA_Butte_-121.569_39.526.fasta
W117,05-3833,Western Scrub Jay,Tissue,100,4622.78,2005-06-13,USA,CA,Tulare,36.316,-119.33,coding-complete,W117_2005-06-13_USA_CA_Tulare_-119.330_36.316.fasta
W119,05-6808,Yellow-billed Magpie,Tissue,100,2951.1,2005-08-03,USA,CA,Solano,38.39,-121.934,coding-complete,W119_2005-08-03_USA_CA_Solano_-121.934_38.390.fasta
W121,06-5327,American Robin,Tissue,100,2623.63,2006-08-08,USA,CA,Lassen,40.018,-120.124,coding-complete,W121_2006-08-08_USA_CA_Lassen_-120.124_40.018.fasta
W122,06-5870,California Scrub-Jay,Tissue,100,4600.32,2006-08-14,USA,CA,Butte,39.642,-121.53,coding-complete,W122_2006-08-14_USA_CA_Butte_-121.530_39.642.fasta
W123,06-6901,Yellow-billed Magpie,Tissue,100,3701.71,2006-09-13,USA,CA,Stanislaus,37.651,-121.028,coding-complete,W123_2006-09-13_USA_CA_Stanislaus_-121.028_37.651.fasta
W124,07-2820,California Scrub-Jay,Tissue,100,3665.62,2007-06-21,USA,CA,Butte,39.362,-121.66,coding-complete,W124_2007-06-21_USA_CA_Butte_-121.660_39.362.fasta
W125,07-2921,California Scrub-Jay,Tissue,100,3960.56,2007-06-24,USA,CA,Stanislaus,37.641,-120.979,coding-complete,W125_2007-06-24_USA_CA_Stanislaus_-120.979_37.641.fasta
W126,07-2975,California Scrub-Jay,Tissue,100,3381.47,2007-06-24,USA,CA,Fresno,36.821,-119.763,coding-complete,W126_2007-06-24_USA_CA_Fresno_-119.763_36.821.fasta
W127,08-5102,Northern Mockingbird,Tissue,100,3309.64,2008-08-11,USA,CA,San Bernardino,34.033,-117.152,coding-complete,W127_2008-08-11_USA_CA_SanBernardino_-117.152_34.033.fasta
W128,08-5151,Oak Titmouse,Tissue,100,2985.65,2008-08-12,USA,CA,Calaveras,38.235,-120.712,coding-complete,W128_2008-08-12_USA_CA_Calaveras_-120.712_38.235.fasta
W129,08-5301,House Finch,Tissue,100,3723.91,2008-08-15,USA,CA,Los Angeles,34.107,-117.769,coding-complete,W129_2008-08-15_USA_CA_LosAngeles_-117.769_34.107.fasta
W130,08-5363,California Scrub-Jay,Tissue,100,3882.46,2008-08-18,USA,CA,Contra Costa,38.015,-121.814,coding-complete,W130_2008-08-18_USA_CA_ContraCosta_-121.814_38.015.fasta
W131,08-5568,California Scrub-Jay,Tissue,100,3275.71,2008-08-21,USA,CA,Stanislaus,37.537,-120.861,coding-complete,W131_2008-08-21_USA_CA_Stanislaus_-120.861_37.537.fasta
W132,08-5779,American Crow,Tissue,100,4362.56,2008-08-25,USA,CA,Los Angeles,34.168,-118.752,coding-complete,W132_2008-08-25_USA_CA_LosAngeles_-118.752_34.168.fasta
W133,09-1614,House Finch,Tissue,100,4646.85,2009-06-18,USA,CA,Kern,35.417,-119.073,coding-complete,W133_2009-06-18_USA_CA_Kern_-119.073_35.417.fasta
W134,09-1753,California Scrub-Jay,Tissue,100,4158.18,2009-06-23,USA,CA,Kings,36.354,-119.622,coding-complete,W134_2009-06-23_USA_CA_Kings_-119.622_36.354.fasta
W135,09-3142,Northern Mockingbird,Tissue,100,2854.43,2009-09-04,USA,CA,Stanislaus,37.51,-120.852,coding-complete,W135_2009-09-04_USA_CA_Stanislaus_-120.852_37.510.fasta
W136,10-1660,California Scrub-Jay,Tissue,100,2012.78,2010-07-21,USA,CA,Stanislaus,37.547,-120.948,coding-complete,W136_2010-07-21_USA_CA_Stanislaus_-120.948_37.547.fasta
W137,10-1803,California Scrub-Jay,Tissue,97.88,4012.25,2010-07-29,USA,CA,Placer,38.731,-121.357,coding-complete,W137_2010-07-29_USA_CA_Placer_-121.357_38.731.fasta
W138,10-1833,House Sparrow,Tissue,100,4873.56,2010-07-30,USA,CA,Stanislaus,37.585,-120.952,coding-complete,W138_2010-07-30_USA_CA_Stanislaus_-120.952_37.585.fasta
W139,10-1857,California Scrub-Jay,Tissue,100,2539.57,2010-08-02,USA,CA,Fresno,36.858,-119.756,coding-complete,W139_2010-08-02_USA_CA_Fresno_-119.756_36.858.fasta
W140,11-1352,California Scrub-Jay,Tissue,100,3088.22,2011-07-11,USA,CA,San Joaquin,37.971,-121.302,coding-complete,W140_2011-07-11_USA_CA_SanJoaquin_-121.302_37.971.fasta
W141,11-2058,Black-headed Grosbeak,Tissue,98.22,3459.63,2011-08-22,USA,CA,San Bernardino,34.135,-117.567,coding-complete,W141_2011-08-22_USA_CA_SanBernardino_-117.567_34.135.fasta
W142,11-2646,Sparrow,Tissue,100,2692.38,2011-09-21,USA,CA,Placer,38.737,-121.229,coding-complete,W142_2011-09-21_USA_CA_Placer_-121.229_38.737.fasta
W143,12-1341,American Crow,Tissue,100,3640.15,2012-06-06,USA,CA,Los Angeles,34.158,-118.043,coding-complete,W143_2012-06-06_USA_CA_LosAngeles_-118.043_34.158.fasta
W144,12-1583,California Scrub-Jay,Tissue,100,1971.92,2012-06-12,USA,CA,Stanislaus,37.674,-120.981,coding-complete,W144_2012-06-12_USA_CA_Stanislaus_-120.981_37.674.fasta
W145,12-1621,American Crow,Tissue,100,1948.88,2012-06-14,USA,CA,Riverside,34.002,-117.48,coding-complete,W145_2012-06-14_USA_CA_Riverside_-117.480_34.002.fasta
W146,12-1897,American Crow,Tissue,100,3690.98,2012-06-21,USA,CA,Tulare,36.315,-119.29,coding-complete,W146_2012-06-21_USA_CA_Tulare_-119.290_36.315.fasta
W147,12-2991,American Crow,Tissue,100,4607.05,2012-07-17,USA,CA,Los Angeles,34.249,-118.513,coding-complete,W147_2012-07-17_USA_CA_LosAngeles_-118.513_34.249.fasta
W148,12-3004,American Crow,Tissue,100,2868.73,2012-07-17,USA,CA,Merced,37.347,-120.591,coding-complete,W148_2012-07-17_USA_CA_Merced_-120.591_37.347.fasta
W149,12-3166,California Scrub-Jay,Tissue,100,4287.47,2012-07-22,USA,CA,Tulare,36.333,-119.329,coding-complete,W149_2012-07-22_USA_CA_Tulare_-119.329_36.333.fasta
W150,12-3200,American Crow,Tissue,99.83,2844.62,2012-07-20,USA,CA,Los Angeles,34.061,-118.402,coding-complete,W150_2012-07-20_USA_CA_LosAngeles_-118.402_34.061.fasta
W151,12-3725,Yellow-billed Magpie,Tissue,100,5458.77,2012-08-08,USA,CA,Merced,37.302,-120.6,coding-complete,W151_2012-08-08_USA_CA_Merced_-120.600_37.302.fasta
W152,13-2824,American Robin,Tissue,100,3397.49,2013-08-02,USA,CA,Placer,38.808,-121.18,coding-complete,W152_2013-08-02_USA_CA_Placer_-121.180_38.808.fasta
W153,13-3056,House Finch,Tissue,98.39,3033.86,2013-08-08,USA,CA,Shasta,40.57,-122.316,coding-complete,W153_2013-08-08_USA_CA_Shasta_-122.316_40.570.fasta
W154,13-3073,California Scrub-Jay,Tissue,100,3655.53,2013-08-07,USA,CA,Butte,39.775,-121.596,coding-complete,W154_2013-08-07_USA_CA_Butte_-121.596_39.775.fasta
W155,13-3100,California Scrub-Jay,Tissue,97.64,3256.19,2013-08-08,USA,CA,Los Angeles,33.859,-118.391,coding-complete,W155_2013-08-08_USA_CA_LosAngeles_-118.391_33.859.fasta
W156,13-3102,Red-shouldered Hawk,Tissue,96.24,3011.87,2013-07-31,USA,CA,Los Angeles,34.098,-117.805,coding-complete,W156_2013-07-31_USA_CA_LosAngeles_-117.805_34.098.fasta
W157,13-3197,House Finch,Tissue,99.4,3016.88,2013-08-12,USA,CA,Shasta,40.468,-122.277,coding-complete,W157_2013-08-12_USA_CA_Shasta_-122.277_40.468.fasta
